TaskId,AssigneeId
18e4c14b-56d6-43,19843875-6077-49
323c8fb9-e7c6-44,64ed29be-71a0-46
798be7dd-61c2-4d,2ea98624-82a3-46
99049f5b-3d88-4c,ab38ad56-b3ab-42
e01479d6-6019-4a,372a9ad5-4952-44
e01479d6-6019-4a,88b03172-135a-4b
199ec36c-bdea-40,06849b4a-e875-40
bc63d228-b7a9-49,ab38ad56-b3ab-42
56378d8b-0c82-4a,372a9ad5-4952-44
ac1a2b65-d1fc-47,88b03172-135a-4b
a9f5ae59-6193-40,d263667b-ea46-4b
d46993c0-ce64-46,88664860-7e36-4b
8cee3017-a75f-4a,5d842729-e31d-40
95a5ad82-6316-42,2ea98624-82a3-46
f7b17de0-c269-43,64ed29be-71a0-46
177bb237-60ab-47,64ed29be-71a0-46
